cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Neutrophil,GO:0032432,actin filament bundle,4/153,98/28573,0.0019327106039530838,0.019327106039530837,0.01593638568171841,Myh11/Actb/Acta2/Myl9,4
Neutrophil,GO:0042641,actomyosin,4/153,98/28573,0.0019327106039530838,0.019327106039530837,0.01593638568171841,Myh11/Actb/Acta2/Myl9,4
Neutrophil,GO:0035060,brahma complex,2/153,14/28573,0.0024850064428712493,0.022590967662465905,0.018627640002384163,Actb/Smarce1,2
Neutrophil,GO:0044754,autolysosome,2/153,14/28573,0.0024850064428712493,0.022590967662465905,0.018627640002384163,Fth1/Ftl1,2
Neutrophil,GO:0071564,npBAF complex,2/153,14/28573,0.0024850064428712493,0.022590967662465905,0.018627640002384163,Actb/Smarce1,2
Neutrophil,GO:0016586,RSC-type complex,2/153,15/28573,0.002857263116027253,0.02521114514141694,0.020788137221870107,Actb/Smarce1,2
Neutrophil,GO:0071565,nBAF complex,2/153,16/28573,0.0032540006569593423,0.02789143420250865,0.022998200131893097,Actb/Smarce1,2
Neutrophil,GO:0016459,myosin complex,3/153,56/28573,0.0033902840627509042,0.02825236718959087,0.023295811542294223,Myh11/Myl4/Myl9,3
Neutrophil,GO:0000786,nucleosome,4/153,120/28573,0.004014864039395854,0.031691100087909645,0.026131257967223744,Irf4/Actb/H2bc27/H1f0,4
Neutrophil,GO:0005767,secondary lysosome,2/153,18/28573,0.004119843011428254,0.031691100087909645,0.026131257967223744,Fth1/Ftl1,2
Neutrophil,GO:0030867,rough endoplasmic reticulum membrane,2/153,18/28573,0.004119843011428254,0.031691100087909645,0.026131257967223744,Ssr4/Sec61b,2
Neutrophil,GO:0005774,vacuolar membrane,6/153,283/28573,0.004296944213732823,0.03222708160299617,0.026573207637558247,Hspa8/Anxa6/Laptm4a/Rpn2/Gabarapl2/Irgm2,6
Plasma cell,GO:0140534,endoplasmic reticulum protein-containing complex,22/309,135/28573,9.442498481112308e-20,4.3718767967549987e-17,3.280025788175855e-17,Dnajb11/Derl3/H13/Hsp90b1/Pdia6/Spcs1/Sdf2l1/Mzb1/Sec11c/Hspa5/Rpn2/Vcp/Ddost/Rpn1/Sec61a1/Spcs2/Ostc/Krtcap2/Sec61b/Spcs3/B2m/Selenos,22
Plasma cell,GO:0022626,cytosolic ribosome,19/309,142/28573,1.4005249590437071e-15,3.242215280186182e-13,2.4324907183390705e-13,Rpl10/Ubb/Rpl22/Rps29/Rps27l/Rps21/Rps19/Rpl21/Rpl37/Rpl37rt/Rpl37a/Rpl36al/Rps27rt/Rpl38/Rpl36/Rps28/Rpl39/Uba52/Rps27,19
Plasma cell,GO:0044391,ribosomal subunit,21/309,215/28573,2.714786027326103e-14,4.189819768839953e-12,3.1434364526933822e-12,Rpl10/Ubb/Rpl22/Rps29/Mrpl54/Rps27l/Rps21/Rps19/Rpl21/Rpl37/Rpl37rt/Rpl37a/Rpl36al/Rps27rt/Rpl38/Mrpl18/Rpl36/Rps28/Rpl39/Uba52/Rps27,21
Plasma cell,GO:0005840,ribosome,21/309,267/28573,1.896320476667116e-12,2.1949909517421865e-10,1.6468046244740743e-10,Rpl10/Ubb/Rpl22/Rps29/Mrpl54/Rps27l/Rps21/Rps19/Rpl21/Rpl37/Rpl37rt/Rpl37a/Rpl36al/Rps27rt/Rpl38/Mrpl18/Rpl36/Rps28/Rpl39/Uba52/Rps27,21
Plasma cell,GO:0001772,immunological synapse,10/309,50/28573,1.325940856156409e-10,1.2278212328008348e-8,9.211799632244527e-9,Lck/Myh9/Zap70/Coro1a/Lat/Lgals3/Skap1/H2-Eb1/Il4i1/Il4i1b,10
Plasma cell,GO:0022625,cytosolic large ribosomal subunit,11/309,79/28573,9.31645424984943e-10,7.18919719613381e-8,5.39373667096546e-8,Rpl10/Rpl22/Rpl21/Rpl37/Rpl37rt/Rpl37a/Rpl36al/Rpl38/Rpl36/Rpl39/Uba52,11
Plasma cell,GO:0022627,cytosolic small ribosomal subunit,9/309,45/28573,1.1342315293671612e-9,7.502131401385651e-8,5.6285173637768914e-8,Ubb/Rps29/Rps27l/Rps21/Rps19/Rps27rt/Rps28/Uba52/Rps27,9
Plasma cell,GO:0034663,endoplasmic reticulum chaperone complex,6/309,12/28573,1.3332713221324608e-9,7.716307776841617e-8,5.7892044250488435e-8,Dnajb11/Hsp90b1/Pdia6/Sdf2l1/Mzb1/Hspa5,6
Plasma cell,GO:0015934,large ribosomal subunit,13/309,137/28573,3.4664592868142557e-9,1.7833007219944447e-7,1.337931654559888e-7,Rpl10/Rpl22/Mrpl54/Rpl21/Rpl37/Rpl37rt/Rpl37a/Rpl36al/Rpl38/Mrpl18/Rpl36/Rpl39/Uba52,13
Plasma cell,GO:0042788,polysomal ribosome,7/309,37/28573,1.260045777212954e-7,5.834011948495977e-6,4.377001120844998e-6,Rps29/Rps21/Rpl36al/Rpl38/Rpl36/Rps28/Rpl39,7
Plasma cell,GO:0000139,Golgi membrane,15/309,265/28573,2.3271187289758518e-7,9.795054286507449e-6,7.348795986239533e-6,Pld3/Stx5a/Gorasp2/Mgat1/Tmed10/St6gal1/Bet1l/Glipr2/Cln3/Bet1/Tpst1/Hid1/Lman1/Irgm2/Kdelr2,15
Plasma cell,GO:0008250,oligosaccharyltransferase complex,5/309,14/28573,2.646805221011399e-7,1.0212256811068982e-5,7.661804587138261e-6,Rpn2/Ddost/Rpn1/Ostc/Krtcap2,5
Plasma cell,GO:0015935,small ribosomal subunit,9/309,83/28573,2.9365226031782776e-7,1.0458538194396481e-5,7.846578615780014e-6,Ubb/Rps29/Rps27l/Rps21/Rps19/Rps27rt/Rps28/Uba52/Rps27,9
Plasma cell,GO:0098562,cytoplasmic side of membrane,13/309,212/28573,6.069880641723507e-7,2.00739624079856e-5,1.5060606103524493e-5,Lck/Gm2a/S100a6/Rhoa/H13/Myh9/Ap2m1/Zap70/Gnas/Sppl3/Ikbkb/Hid1/Lyn,13
Plasma cell,GO:0005790,smooth endoplasmic reticulum,6/309,33/28573,1.3199015056889153e-6,4.0740959808931186e-5,3.0566140131743305e-5,Rpl10/Hsp90b1/Pdia6/Dnajc3/Prdx4/Hspa5,6
Plasma cell,GO:0005844,polysome,8/309,78/28573,2.078119232604971e-6,6.0135575293506355e-5,4.511706228681846e-5,Rps29/Rps21/Cpeb2/Rpl36al/Rpl38/Rpl36/Rps28/Rpl39,8
Plasma cell,GO:0043209,myelin sheath,12/309,208/28573,3.1084643877868666e-6,8.4659941855607e-5,6.351660978140348e-5,Ubb/Nme2/Serinc5/Glul/Hspa5/Vcp/Actb/Thy1/Gapdh/Eno1/Tuba1a/Uba52,12
Plasma cell,GO:0005770,late endosome,13/309,255/28573,4.722764487562315e-6,1.2147999765229732e-4,9.114106905822011e-5,Apoe/Pld3/Psap/Cst3/Cln3/Lamp1/Trf/H2-DMa/Gapdh/H2-Eb1/B2m/H2-Ab1/Lamtor5,13
Plasma cell,GO:0042613,MHC class II protein complex,4/309,13/28573,8.880991116601751e-6,2.1641573089403214e-4,1.623671506082315e-4,H2-DMa/H2-Eb1/B2m/H2-Ab1,4
Plasma cell,GO:0098791,Golgi apparatus subcompartment,14/309,323/28573,1.3039281071679586e-5,3.018593568093824e-4,2.2647172387654018e-4,Plod3/Gorasp2/St6gal1/Ms4a6b/Bet1l/Pam/Gnas/Cln3/Yipf2/Bet1/Hid1/Tgfbi/Arl5c/Pld4,14
Plasma cell,GO:0009898,cytoplasmic side of plasma membrane,10/309,180/28573,2.8613688492033617e-5,6.308637034195983e-4,4.7330913295093205e-4,Lck/Gm2a/S100a6/Rhoa/Myh9/Ap2m1/Zap70/Gnas/Ikbkb/Lyn,10
Plasma cell,GO:0031902,late endosome membrane,7/309,94/28573,7.404343568522864e-5,0.0015582777601027664,0.0011691068792404522,Pld3/Lamp1/H2-DMa/H2-Eb1/B2m/H2-Ab1/Lamtor5,7
Plasma cell,GO:0005795,Golgi stack,7/309,95/28573,7.920212341937433e-5,0.0015943731801378398,0.0011961876763566834,Gorasp2/St6gal1/Bet1l/Cln3/Yipf2/Bet1/Hid1,7
Plasma cell,GO:0030135,coated vesicle,10/309,205/28573,8.558602921442548e-5,0.0016510971469282916,0.001238745159682474,Tmed10/Ap2m1/Sec23b/Gnas/Trf/Sec24d/Lman1/Cope/Tmed9/Kdelr2,10
Plasma cell,GO:0045121,membrane raft,12/309,301/28573,1.1922811011439546e-4,0.0021089313657164308,0.0015822379235794523,Lck/Cacna1h/Zap70/Actb/Cln3/Thy1/Ppp2r1b/Lyn/Cd8a/Skap1/Eno1/Tuba1a,12
Plasma cell,GO:0030139,endocytic vesicle,10/309,214/28573,1.2196065459200777e-4,0.0021089313657164308,0.0015822379235794523,Lck/Myh9/Ap2m1/Sec61a1/Coro1a/Lamp1/Trf/Ftl1/Pld4/B2m,10
Plasma cell,GO:0098857,membrane microdomain,12/309,302/28573,1.2298303860549379e-4,0.0021089313657164308,0.0015822379235794523,Lck/Cacna1h/Zap70/Actb/Cln3/Thy1/Ppp2r1b/Lyn/Cd8a/Skap1/Eno1/Tuba1a,12
Plasma cell,GO:0005791,rough endoplasmic reticulum,5/309,46/28573,1.3650145697774248e-4,0.0021927314239516007,0.001645109400713944,H13/Sppl3/Rpn1/Sec61a1/Sec61b,5
Plasma cell,GO:0005797,Golgi medial cisterna,4/309,25/28573,1.4182817381264292e-4,0.0021927314239516007,0.001645109400713944,Gorasp2/St6gal1/Yipf2/Hid1,4
Plasma cell,GO:0000138,Golgi trans cisterna,3/309,10/28573,1.420776300616588e-4,0.0021927314239516007,0.001645109400713944,St6gal1/Yipf2/Hid1,3
Plasma cell,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,6/309,81/28573,2.504360921883712e-4,0.0037403842155876083,0.002806244836066638,Pdia6/Tmed10/Hspa5/Sppl3/Lman1/Tmed9,6
Plasma cell,GO:0005774,vacuolar membrane,11/309,283/28573,2.8275897057285167e-4,0.004091168855475948,0.0030694230358237194,Pld3/Rpn2/Laptm5/Cln3/Lamp1/H2-DMa/H2-Eb1/B2m/Irgm2/H2-Ab1/Lamtor5,11
