cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
B cell,GO:0046651,lymphocyte proliferation,14/207,383/28891,7.869808392479698e-7,1.1328589180974524e-4,9.145545752944827e-5,Icosl/Zbtb32/Cd40/Satb1/Mzb1/Zap70/Cr2/Fcgr2b/Cd3e/Clcf1/Selenok/Rasal3/Il4i1/Il4i1b,14
B cell,GO:2000353,positive regulation of endothelial cell apoptotic process,5/207,25/28891,8.505445848883632e-7,1.1660561237588561e-4,9.413546082373465e-5,Cd40/Xbp1/Pdcd4/Cd160/Foxo3,5
B cell,GO:0032943,mononuclear cell proliferation,14/207,389/28891,9.458053740117622e-7,1.2028453183805592e-4,9.710544461652529e-5,Icosl/Zbtb32/Cd40/Satb1/Mzb1/Zap70/Cr2/Fcgr2b/Cd3e/Clcf1/Selenok/Rasal3/Il4i1/Il4i1b,14
B cell,GO:0002764,immune response-regulating signaling pathway,15/207,450/28891,1.0016554562723614e-6,1.2028453183805592e-4,9.710544461652529e-5,Lck/Icosl/Cd247/Cd40/Slc15a2/Zap70/Lat/Thy1/Cd3e/Cd160/Prkcb/Cd8a/Skap1/Irgm2/Stmp1,15
B cell,GO:0022904,respiratory electron transport chain,8/207,106/28891,1.002719265061946e-6,1.2028453183805592e-4,9.710544461652529e-5,Cdk1/Ndufa12/Uqcrb/Ndufv3/Snca/Ndufa8/Ndufc2/COX1,8
B cell,GO:0002181,cytoplasmic translation,9/207,148/28891,1.297100225511291e-6,1.4937406196988026e-4,1.2058935991279707e-4,Rpl13/Rpl22/Rps29/Rpl21/Rps2/Rps12/Rps28/Uba52/Rpl41,9
B cell,GO:0002768,immune response-regulating cell surface receptor signaling pathway,12/207,294/28891,1.5798003913630611e-6,1.7493251256670204e-4,1.4122264227245504e-4,Lck/Icosl/Cd247/Cd40/Zap70/Lat/Thy1/Cd3e/Cd160/Prkcb/Cd8a/Skap1,12
B cell,GO:0009060,aerobic respiration,10/207,196/28891,1.6479148304648118e-6,1.7571654803363678e-4,1.418555924236376e-4,Cdk1/Ndufa12/Uqcrb/Ndufv3/Snca/Ndufa8/Ndufc2/Ide/COX1/Bloc1s1,10
B cell,GO:0022900,electron transport chain,8/207,116/28891,1.987079639979095e-6,2.0431436726785053e-4,1.6494255056668578e-4,Cdk1/Ndufa12/Uqcrb/Ndufv3/Snca/Ndufa8/Ndufc2/COX1,8
B cell,GO:0042744,hydrogen peroxide catabolic process,5/207,30/28891,2.2158399489841626e-6,2.1997942114225532e-4,1.7758891496758735e-4,Prdx4/Snca/Hbb-b1/Hba-a1/Hbq1b,5
B cell,GO:0070661,leukocyte proliferation,14/207,425/28891,2.6603852867781473e-6,2.5530830802114287e-4,2.0610984958618068e-4,Icosl/Zbtb32/Cd40/Satb1/Mzb1/Zap70/Cr2/Fcgr2b/Cd3e/Clcf1/Selenok/Rasal3/Il4i1/Il4i1b,14
B cell,GO:0006338,chromatin remodeling,15/207,489/28891,2.7820098756183084e-6,2.5836794941629386e-4,2.0857989152343718e-4,H3f3b/Satb1/Gnas/Actb/Eomes/Eif1/Supt16/Aicda/Ino80d/Kmt2d/Klf2/Nap1l1/Top1/H2ac25/H1f0,15
B cell,GO:0042113,B cell activation,12/207,320/28891,3.784269186906849e-6,3.4046596840952556e-4,2.748574462069185e-4,Icosl/Cd40/Polm/Xbp1/Mzb1/Cr2/Fcgr2b/Aicda/Clcf1/Prkcb/Il4i1/Gimap1,12
B cell,GO:0002429,immune response-activating cell surface receptor signaling pathway,11/207,284/28891,7.122084189295812e-6,6.213478903328074e-4,5.016128194566237e-4,Lck/Icosl/Cd247/Zap70/Lat/Thy1/Cd3e/Cd160/Prkcb/Cd8a/Skap1,11
B cell,GO:0050670,regulation of lymphocyte proliferation,11/207,286/28891,7.609238220572441e-6,6.443234363831781e-4,5.201609285146734e-4,Icosl/Cd40/Mzb1/Zap70/Fcgr2b/Cd3e/Clcf1/Selenok/Rasal3/Il4i1/Il4i1b,11
B cell,GO:0042692,muscle cell differentiation,14/207,468/28891,7.995906269282766e-6,6.577204042647166e-4,5.309762719571834e-4,Ift20/H3f3b/Xbp1/Myh9/Pdcd4/Cacna1s/Rbm38/Uchl1/Bhlhe41/Rara/Bhlha15/Camk2d/Naca/Myl9,14
B cell,GO:0032944,regulation of mononuclear cell proliferation,11/207,290/28891,8.671360872160578e-6,6.934679986375085e-4,5.598352282377355e-4,Icosl/Cd40/Mzb1/Zap70/Fcgr2b/Cd3e/Clcf1/Selenok/Rasal3/Il4i1/Il4i1b,11
B cell,GO:0006119,oxidative phosphorylation,8/207,147/28891,1.1532073060894422e-5,8.973199551977037e-4,7.244044756317179e-4,Cdk1/Ndufa12/Uqcrb/Ndufv3/Snca/Ndufa8/Ndufc2/COX1,8
B cell,GO:0034341,response to type II interferon,8/207,150/28891,1.3361833833680882e-5,0.0010123347265044015,8.172556538716728e-4,Cd40/Ifitm3/Snca/Ccl22/Parp14/Gbp8/Gapdh/Irgm2,8
B cell,GO:0045333,cellular respiration,10/207,254/28891,1.623151225579652e-5,0.0011982185585753381,9.673192728960519e-4,Cdk1/Ndufa12/Uqcrb/Ndufv3/Snca/Ndufa8/Ndufc2/Ide/COX1/Bloc1s1,10
B cell,GO:0070663,regulation of leukocyte proliferation,11/207,313/28891,1.7656089964430933e-5,0.0012707970751899163,0.0010259117537227236,Icosl/Cd40/Mzb1/Zap70/Fcgr2b/Cd3e/Clcf1/Selenok/Rasal3/Il4i1/Il4i1b,11
B cell,GO:0016445,somatic diversification of immunoglobulins,6/207,76/28891,1.811996613415135e-5,0.0012723751829322374,0.0010271857567190291,Icosl/Cd40/Polm/Aicda/Clcf1/Nuggc,6
B cell,GO:0010830,regulation of myotube differentiation,5/207,46/28891,1.9419581203461784e-5,0.0013311660543992019,0.0010746475011840506,Xbp1/Rbm38/Bhlhe41/Bhlha15/Naca,5
B cell,GO:1904037,positive regulation of epithelial cell apoptotic process,5/207,48/28891,2.3978100513493744e-5,0.00157757675732649,0.001273574333257853,Cd40/Xbp1/Pdcd4/Cd160/Foxo3,5
B cell,GO:0034976,response to endoplasmic reticulum stress,10/207,266/28891,2.4110238736493768e-5,0.00157757675732649,0.001273574333257853,Derl3/H13/Hsp90b1/Xbp1/Fcgr2b/Edem1/Manf/Selenok/Bhlha15/Sec61b,10
B cell,GO:0002377,immunoglobulin production,10/207,276/28891,3.299009657063356e-5,0.002008281869186928,0.001621281646465234,Icosl/Vpreb3/Cd40/Polm/Xbp1/Mzb1/Fcgr2b/Aicda/Clcf1/Nuggc,10
B cell,GO:0046631,alpha-beta T cell activation,9/207,221/28891,3.3210882848800646e-5,0.002008281869186928,0.001621281646465234,Satb1/Zap70/Rpl22/Cd3e/Eomes/Rara/Cd160/Rasal3/Gimap1,9
B cell,GO:0030970,"retrograde protein transport, ER to cytosol",4/207,26/28891,3.381856916652134e-5,0.002008281869186928,0.001621281646465234,Derl3/H13/Edem1/Sec61b,4
B cell,GO:1903513,endoplasmic reticulum to cytosol transport,4/207,26/28891,3.381856916652134e-5,0.002008281869186928,0.001621281646465234,Derl3/H13/Edem1/Sec61b,4
B cell,GO:0045582,positive regulation of T cell differentiation,7/207,125/28891,3.418055282742601e-5,0.002008281869186928,0.001621281646465234,Lck/Xbp1/Zap70/Actb/Rara/Il4i1/Il4i1b,7
B cell,GO:0002200,somatic diversification of immune receptors,6/207,87/28891,3.9208677861390074e-5,0.00225763567125884,0.0018225844361673535,Icosl/Cd40/Polm/Aicda/Clcf1/Nuggc,6
B cell,GO:0002697,regulation of immune effector process,13/207,473/28891,4.070975245375538e-5,0.002298105437536505,0.0018552555917005545,Vpreb3/Fcer2a/Cd40/Xbp1/Mzb1/Cr2/Fcgr2b/Prg2/Rara/Cd160/Clcf1/Il4i1/Il4i1b,13
B cell,GO:0051146,striated muscle cell differentiation,11/207,347/28891,4.524713612897016e-5,0.002505125094525098,0.0020223821168576135,Ift20/Xbp1/Myh9/Cacna1s/Rbm38/Bhlhe41/Rara/Bhlha15/Camk2d/Naca/Myl9,11
B cell,GO:0015980,energy derivation by oxidation of organic compounds,11/207,350/28891,4.8892376263406193e-5,0.0026299622370214906,0.0021231628742960644,Cdk1/Ndufa12/Uqcrb/Ndufv3/Snca/Ndufa8/Gnas/Ndufc2/Ide/COX1/Bloc1s1,11
B cell,GO:0034248,regulation of amide metabolic process,13/207,482/28891,4.932892004138954e-5,0.0026299622370214906,0.0021231628742960644,Rpl10/Rps6kb2/Snca/Srp9/Cdk5rap1/Ccn1/Ddx6/Ddx25/Eif1/Rara/Hbb-b1/Gapdh/Sarnp,13
B cell,GO:0006091,generation of precursor metabolites and energy,13/207,484/28891,5.144690516506785e-5,0.0026930116358223695,0.0021740625187458337,Cdk1/Ndufa12/Uqcrb/Ndufv3/Snca/Ndufa8/Gnas/Ndufc2/Ide/Gapdh/Eno1/COX1/Bloc1s1,13
B cell,GO:0042743,hydrogen peroxide metabolic process,5/207,58/28891,6.0546691205801084e-5,0.0031127486425268094,0.0025129153041806166,Prdx4/Snca/Hbb-b1/Hba-a1/Hbq1b,5
B cell,GO:0002440,production of molecular mediator of immune response,12/207,425/28891,6.245825833426308e-5,0.003154689925339358,0.0025467744118569326,Icosl/Vpreb3/Cd40/Polm/Xbp1/Mzb1/Fcgr2b/Prg2/Cd160/Aicda/Clcf1/Nuggc,12
B cell,GO:2000351,regulation of endothelial cell apoptotic process,5/207,59/28891,6.577029570841277e-5,0.0032647014024917305,0.0026355864414550887,Cd40/Xbp1/Pdcd4/Cd160/Foxo3,5
B cell,GO:0002820,negative regulation of adaptive immune response,5/207,60/28891,7.13345399935985e-5,0.0034808837396876286,0.002810109978695192,Cr2/Fcgr2b/Cd160/Il4i1/Il4i1b,5
B cell,GO:0045621,positive regulation of lymphocyte differentiation,7/207,141/28891,7.35640945444874e-5,0.0035298504698929867,0.002849640714986459,Lck/Xbp1/Zap70/Actb/Rara/Il4i1/Il4i1b,7
B cell,GO:0072577,endothelial cell apoptotic process,5/207,62/28891,8.3545425057736e-5,0.00394307014329872,0.003183232071224868,Cd40/Xbp1/Pdcd4/Cd160/Foxo3,5
B cell,GO:0051651,maintenance of location in cell,9/207,250/28891,8.597451298031406e-5,0.00399226811081168,0.0032229494848987003,Lck/Fth1/Snca/Cacna1s/Thy1/Sun2/Ftl1/Camk2d/Tmsb10,9
B cell,GO:0002819,regulation of adaptive immune response,9/207,252/28891,9.134795391167146e-5,0.004119888508877367,0.0033259771585898708,Fcer2a/Cd40/Cr2/Fcgr2b/Cd160/Clcf1/Skap1/Il4i1/Il4i1b,9
B cell,GO:0014902,myotube differentiation,7/207,146/28891,9.158487828001093e-5,0.004119888508877367,0.0033259771585898708,Xbp1/Myh9/Cacna1s/Rbm38/Bhlhe41/Bhlha15/Naca,7
B cell,GO:0009152,purine ribonucleotide biosynthetic process,8/207,198/28891,9.633494605133891e-5,0.004266897072027765,0.0034446568563782404,Adss1/Ndufa12/Nme2/Ndufv3/Snca/Ndufa8/Ndufc2/Eno1,8
B cell,GO:0016446,somatic hypermutation of immunoglobulin genes,3/207,14/28891,1.2448670721025286e-4,0.00535986080665704,0.004327004135609493,Polm/Aicda/Nuggc,3
B cell,GO:0006979,response to oxidative stress,11/207,389/28891,1.2473451686211242e-4,0.00535986080665704,0.004327004135609493,Lck/Ndufa12/Xbp1/Prdx4/Snca/Trp53inp1/Selenok/Foxo3/Ide/COX1/Ppia,11
B cell,GO:0019932,second-messenger-mediated signaling,10/207,328/28891,1.381047977002163e-4,0.005847113420278275,0.004720362125728756,Hint1/Zap70/Gnas/Lat/Cd3e/Selenok/Bhlha15/Cd8a/Gapdh/Irgm2,10
B cell,GO:0009165,nucleotide biosynthetic process,9/207,267/28891,1.413675720619631e-4,0.005898510724150606,0.004761855058929284,Adss1/Ndufa12/Nme2/Ndufv3/Snca/Ndufa8/Dut/Ndufc2/Eno1,9
B cell,GO:0009260,ribonucleotide biosynthetic process,8/207,210/28891,1.4459220921516353e-4,0.005946871004720797,0.004800896209730543,Adss1/Ndufa12/Nme2/Ndufv3/Snca/Ndufa8/Ndufc2/Eno1,8
B cell,GO:1901293,nucleoside phosphate biosynthetic process,9/207,269/28891,1.4950126934917154e-4,0.0060621711895248575,0.004893977801674882,Adss1/Ndufa12/Nme2/Ndufv3/Snca/Ndufa8/Dut/Ndufc2/Eno1,9
B cell,GO:0042098,T cell proliferation,9/207,270/28891,1.5371240034253063e-4,0.006104553562176353,0.004928193000232312,Icosl/Zbtb32/Satb1/Zap70/Cd3e/Selenok/Rasal3/Il4i1/Il4i1b,9
B cell,GO:0002566,somatic diversification of immune receptors via somatic mutation,3/207,15/28891,1.5478722127088354e-4,0.006104553562176353,0.004928193000232312,Polm/Aicda/Nuggc,3
B cell,GO:1902107,positive regulation of leukocyte differentiation,8/207,213/28891,1.5934896005181349e-4,0.0061168754131889465,0.004938140404131988,Lck/Xbp1/Zap70/Gnas/Actb/Rara/Il4i1/Il4i1b,8
B cell,GO:1903708,positive regulation of hemopoiesis,8/207,213/28891,1.5934896005181349e-4,0.0061168754131889465,0.004938140404131988,Lck/Xbp1/Zap70/Gnas/Actb/Rara/Il4i1/Il4i1b,8
B cell,GO:0019722,calcium-mediated signaling,8/207,214/28891,1.6453500223312682e-4,0.006206987918881829,0.005010888036741953,Hint1/Zap70/Lat/Cd3e/Selenok/Bhlha15/Cd8a/Irgm2,8
B cell,GO:0002637,regulation of immunoglobulin production,6/207,113/28891,1.681643131895737e-4,0.006206987918881829,0.005010888036741953,Vpreb3/Cd40/Xbp1/Mzb1/Fcgr2b/Clcf1,6
B cell,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,6/207,113/28891,1.681643131895737e-4,0.006206987918881829,0.005010888036741953,Ndufa12/Nme2/Ndufv3/Ndufa8/Ndufc2/Eno1,6
B cell,GO:0009145,purine nucleoside triphosphate biosynthetic process,6/207,114/28891,1.7645974668999427e-4,0.0064307292496265,0.005191513933264589,Ndufa12/Nme2/Ndufv3/Ndufa8/Ndufc2/Eno1,6
B cell,GO:0046390,ribose phosphate biosynthetic process,8/207,218/28891,1.8668924938635721e-4,0.0067184793622915295,0.005423813982172064,Adss1/Ndufa12/Nme2/Ndufv3/Snca/Ndufa8/Ndufc2/Eno1,8
B cell,GO:0018209,peptidyl-serine modification,10/207,343/28891,1.9812577589698629e-4,0.007042026034659549,0.005685012516966157,Cdk1/Rps6kb2/Snca/Bcar3/Ikbkb/Poglut1/Prkcb/Camk2d/Irgm2/Top1,10
B cell,GO:0009201,ribonucleoside triphosphate biosynthetic process,6/207,118/28891,2.1292907967981702e-4,0.007475888053636502,0.006035268394519075,Ndufa12/Nme2/Ndufv3/Ndufa8/Ndufc2/Eno1,6
B cell,GO:0010832,negative regulation of myotube differentiation,3/207,17/28891,2.2889649887063116e-4,0.007773564506041875,0.006275581956213035,Xbp1/Bhlhe41/Bhlha15,3
B cell,GO:0045059,positive thymic T cell selection,3/207,17/28891,2.2889649887063116e-4,0.007773564506041875,0.006275581956213035,Cd3g/Zap70/Cd3e,3
B cell,GO:0032527,protein exit from endoplasmic reticulum,4/207,42/28891,2.31489003162713e-4,0.007773564506041875,0.006275581956213035,Derl3/H13/Edem1/Sec61b,4
B cell,GO:0006417,regulation of translation,11/207,418/28891,2.32207901187774e-4,0.007773564506041875,0.006275581956213035,Rpl10/Rps6kb2/Srp9/Cdk5rap1/Ddx6/Ddx25/Eif1/Rara/Hbb-b1/Gapdh/Sarnp,11
B cell,GO:0002285,lymphocyte activation involved in immune response,8/207,227/28891,2.4559180149629444e-4,0.008127112603538295,0.0065610005771786824,Icosl/Cd40/Xbp1/Eomes/Rara/Cd160/Aicda/Clcf1,8
B cell,GO:0070972,protein localization to endoplasmic reticulum,5/207,78/28891,2.48445261929262e-4,0.008128112603344834,0.0065618078748781155,Srp9/Edem1/Sec61b/Naca/Srp54a,5
B cell,GO:0006275,regulation of DNA replication,6/207,123/28891,2.6659526178824864e-4,0.008623907400992897,0.006962061951844506,Cdk1/Bcar3/Tipin/Aicda/Ino80d/Nuggc,6
B cell,GO:0009142,nucleoside triphosphate biosynthetic process,6/207,124/28891,2.7850037156033794e-4,0.008908917441357921,0.007192149946259955,Ndufa12/Nme2/Ndufv3/Ndufa8/Ndufc2/Eno1,6
B cell,GO:0006164,purine nucleotide biosynthetic process,8/207,233/28891,2.9272338181352334e-4,0.009260995782869602,0.007476382036370844,Adss1/Ndufa12/Nme2/Ndufv3/Snca/Ndufa8/Ndufc2/Eno1,8
B cell,GO:0045047,protein targeting to ER,4/207,45/28891,3.030200416104839e-4,0.009397343254664379,0.007586455057969305,Srp9/Edem1/Sec61b/Srp54a,4
B cell,GO:0006612,protein targeting to membrane,6/207,126/28891,3.0356127915379897e-4,0.009397343254664379,0.007586455057969305,Srp9/Nacad/Sec61b/Naca/Irgm2/Srp54a,6
B cell,GO:0002700,regulation of production of molecular mediator of immune response,8/207,236/28891,3.18920815817181e-4,0.009767798178060257,0.007885522523228841,Vpreb3/Cd40/Xbp1/Mzb1/Fcgr2b/Prg2/Cd160/Clcf1,8
B cell,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,3/207,19/28891,3.227480506825802e-4,0.00978096460963314,0.007896151755203735,Srp9/Sec61b/Srp54a,3
B cell,GO:0051047,positive regulation of secretion,11/207,437/28891,3.3863934179052867e-4,0.010155652760572209,0.008198636695981221,Xbp1/Sdc1/Myh9/Cacna1h/Snca/Gnas/Cd160/Clcf1/Prkcb/Ppia/Pcp4,11
B cell,GO:1904035,regulation of epithelial cell apoptotic process,6/207,129/28891,3.4443246103721197e-4,0.010222897477589003,0.008252923211830321,Cdkn1b/Cd40/Xbp1/Pdcd4/Cd160/Foxo3,6
B cell,GO:0006605,protein targeting,9/207,303/28891,3.598969068937958e-4,0.010469340245557226,0.008451875929942908,Timm23/Srp9/Dnajc19/Edem1/Nacad/Sec61b/Naca/Irgm2/Srp54a,9
B cell,GO:0002706,regulation of lymphocyte mediated immunity,8/207,241/28891,3.6681769595841207e-4,0.010469340245557226,0.008451875929942908,Fcer2a/Cd40/Cr2/Fcgr2b/Cd160/Clcf1/Il4i1/Il4i1b,8
B cell,GO:0072522,purine-containing compound biosynthetic process,8/207,241/28891,3.6681769595841207e-4,0.010469340245557226,0.008451875929942908,Adss1/Ndufa12/Nme2/Ndufv3/Snca/Ndufa8/Ndufc2/Eno1,8
B cell,GO:0050671,positive regulation of lymphocyte proliferation,7/207,183/28891,3.6728147440127814e-4,0.010469340245557226,0.008451875929942908,Icosl/Cd40/Zap70/Cd3e/Clcf1/Selenok/Rasal3,7
B cell,GO:0002923,regulation of humoral immune response mediated by circulating immunoglobulin,3/207,20/28891,3.7770320334153725e-4,0.010506267165065848,0.008481686952876691,Fcer2a/Cr2/Fcgr2b,3
B cell,GO:0006613,cotranslational protein targeting to membrane,3/207,20/28891,3.7770320334153725e-4,0.010506267165065848,0.008481686952876691,Srp9/Sec61b/Srp54a,3
B cell,GO:0009141,nucleoside triphosphate metabolic process,7/207,184/28891,3.7952476039140263e-4,0.010506267165065848,0.008481686952876691,Ndufa12/Nme2/Ndufv3/Ndufa8/Dut/Ndufc2/Eno1,7
B cell,GO:0032946,positive regulation of mononuclear cell proliferation,7/207,186/28891,4.0499114548063963e-4,0.011104471503226299,0.008964616032293257,Icosl/Cd40/Zap70/Cd3e/Clcf1/Selenok/Rasal3,7
B cell,GO:0048821,erythrocyte development,4/207,49/28891,4.21382708945102e-4,0.011232970546786562,0.009068353034608043,Hbb-b1/Klf2/Hba-a2/Hba-a1,4
B cell,GO:0050850,positive regulation of calcium-mediated signaling,4/207,49/28891,4.21382708945102e-4,0.011232970546786562,0.009068353034608043,Hint1/Zap70/Cd3e/Cd8a,4
B cell,GO:0072599,establishment of protein localization to endoplasmic reticulum,4/207,49/28891,4.21382708945102e-4,0.011232970546786562,0.009068353034608043,Srp9/Edem1/Sec61b/Srp54a,4
B cell,GO:0045580,regulation of T cell differentiation,7/207,190/28891,4.600205223447125e-4,0.012150450310370892,0.009809032480319897,Lck/Xbp1/Zap70/Actb/Rara/Il4i1/Il4i1b,7
B cell,GO:0046632,alpha-beta T cell differentiation,6/207,138/28891,4.933524865697828e-4,0.01291238008031277,0.01042413674972326,Satb1/Zap70/Rpl22/Eomes/Rara/Gimap1,6
B cell,GO:0043374,"CD8-positive, alpha-beta T cell differentiation",3/207,22/28891,5.048714275373098e-4,0.01309481837729653,0.010571418795660313,Satb1/Eomes/Gimap1,3
B cell,GO:0032753,positive regulation of interleukin-4 production,4/207,52/28891,5.29481106669312e-4,0.013610500947329903,0.010987728228626325,Icosl/Prg2/Cd3e/Rara,4
B cell,GO:1903532,positive regulation of secretion by cell,10/207,390/28891,5.44591901069282e-4,0.0138750449838802,0.011201294062049135,Sdc1/Myh9/Cacna1h/Snca/Gnas/Cd160/Clcf1/Prkcb/Ppia/Pcp4,10
B cell,GO:0050848,regulation of calcium-mediated signaling,5/207,93/28891,5.608647790109775e-4,0.014042109163655498,0.01133616461613182,Hint1/Zap70/Cd3e/Selenok/Cd8a,5
B cell,GO:0072593,reactive oxygen species metabolic process,8/207,257/28891,5.609039784023557e-4,0.014042109163655498,0.01133616461613182,Prdx4/Snca/Ccn1/Ndufc2/Foxo3/Hbb-b1/Hba-a1/Hbq1b,8
B cell,GO:0035872,"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",3/207,23/28891,5.775464586017225e-4,0.014334105640641028,0.011571892745849396,Slc15a2/Rnf34/Irgm2,3
B cell,GO:0006816,calcium ion transport,11/207,469/28891,6.099245791174572e-4,0.015008315070762045,0.012116180573021553,Lck/Smdt1/Ehd3/Cacna1h/Snca/Cacna1s/Thy1/Selenok/Bhlha15/Prkcb/Camk2d,11
B cell,GO:0006874,intracellular calcium ion homeostasis,9/207,327/28891,6.227553772013973e-4,0.015066493537502713,0.012163147924464266,Lck/Cd40/Smdt1/Snca/Cacna1s/Thy1/Selenok/Prkcb/Camk2d,9
B cell,GO:0097193,intrinsic apoptotic signaling pathway,9/207,327/28891,6.227553772013973e-4,0.015066493537502713,0.012163147924464266,Lck/Ubb/Hint1/Xbp1/Eaf2/Fcgr2b/Selenok/Eno1/Ppia,9
B cell,GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,4/207,55/28891,6.559618656072812e-4,0.01573761842569469,0.012704945607551553,Cr2/Fcgr2b/Il4i1/Il4i1b,4
